,author,date,favorite,thumb,title,title_href
0,春松CC,2018/11/25,0,0,什么是聊天机器人？,http://www.woshipm.com/ai/1563074.html
1,李震,2018/11/23,2,2,安防AI大数据全流程解析,http://www.woshipm.com/ai/1655303.html
2,首席发言者,2018/11/22,0,0,AI赋能传统教育机构，带来何种不同？,http://www.woshipm.com/ai/1648500.html
3,首席发言者,2018/11/22,2,3,智慧农业兴起，阿里、京东、百度积极入局，谁能抢先占领风口？,http://www.woshipm.com/ai/1652569.html
4,小连同学,2018/11/21,1,3,你拍的短视频竟被它“看懂”了？无理解，不AI,http://www.woshipm.com/ai/1648758.html
5,Camille,2018/11/21,7,3,产品体验报告|小智AI机器人（公众号+设备）,http://www.woshipm.com/ai/1645215.html
6,AIID（百度）,2018/11/17,14,7,人与机器人的渐进式交互研究,http://www.woshipm.com/ai/1629299.html
7,邹大湿,2018/11/16,16,4,智能音箱这四年：崩塌的旧秩序与崛起的新终端,http://www.woshipm.com/ai/1632936.html
8,李震,2018/11/14,1,4,安防+AI，大规模落地的一线场景及创新关键点,http://www.woshipm.com/ai/1162652.html
9,奇点机智,2018/11/13,3,0,对话平台将成为企业AI语音赋能的必备武器,http://www.woshipm.com/ai/1625768.html
10,智能相对论,2018/11/12,1,0,又是一年“剁手”时，AI一下更优惠？,http://www.woshipm.com/ai/1619273.html
11,Cemeworm,2018/11/12,19,5,从小爱同学谈对AI语音助手的整体认识,http://www.woshipm.com/ai/1622320.html
12,AIID（百度）,2018/11/11,21,7,拿什么名字唤醒你？我的智能小伙伴,http://www.woshipm.com/ai/1619358.html
13,AIID（百度）,2018/11/10,0,0,AI时代不得不提的恐怖谷,http://www.woshipm.com/ai/1619432.html
14,Hatter,2018/11/08,15,1,干货|机器学习超全总结!,http://www.woshipm.com/ai/1613909.html
15,米粒,2018/11/08,1,1,chatbot系列：引导及个性化推荐提升用户粘性,http://www.woshipm.com/ai/1603984.html
16,米粒,2018/11/07,1,2,chatbot系列：机器人反馈类型整理,http://www.woshipm.com/ai/1604111.html
17,刘志刚,2018/11/07,5,0,当AI邂逅少儿经济，如何才能C位出道？,http://www.woshipm.com/ai/1603643.html
18,脑极体,2018/11/06,0,0,藏在机器嗓音里的赛车场：我们离完美的AI之声还有多远？,http://www.woshipm.com/ai/1601739.html
19,达观数据,2018/11/06,10,10,基于文本智能技术的AI产品设计实践,http://www.woshipm.com/ai/1599038.html
20,苏宁金融研究院,2018/11/05,4,1,人工智能真的可以取代同传翻译吗？,http://www.woshipm.com/ai/1597709.html
21,Alter,2018/11/05,3,0,让智能音箱连续对话，百度工程师都做了些什么？,http://www.woshipm.com/ai/1591739.html
22,李震,2018/11/05,6,2,“安防+AI”，规模性落地中的关键三要素,http://www.woshipm.com/ai/1590085.html
23,Alice,2018/11/04,7,7,AI在爱奇艺商业广告中的应用和探索,http://www.woshipm.com/ai/1588698.html
24,雷锋网,2018/11/02,4,1,重温五条 AI 基础规律,http://www.woshipm.com/ai/1588769.html
25,四月春波,2018/10/31,13,8,一起聊聊：“AI”智能电话营销机器人的产品特征,http://www.woshipm.com/ai/1578976.html
26,首席发言者,2018/10/26,12,2,AI影像医疗，阿里腾讯科大讯飞等公司如何破局？,http://www.woshipm.com/ai/1558666.html
27,脑极体,2018/10/23,2,2,AI能拯救饱受争议的“付费墙”吗？,http://www.woshipm.com/ai/1542655.html
28,Han Li,2018/10/23,11,1,谁能赢得家庭智能硬件的终局之战,http://www.woshipm.com/ai/1527814.html
29,智能相对论,2018/10/22,4,0,AI能读懂情绪了，我们到底该拿她来干嘛？,http://www.woshipm.com/ai/1533607.html
30,凤城狂客,2018/10/20,20,2,浅谈：YY直播平台中内容分发、自然语言对话NLP的人工智能AI,http://www.woshipm.com/ai/1534489.html
31,脑极体,2018/10/19,13,4,AI改变的旅游业：OTA如何才能用好这把时代的武器,http://www.woshipm.com/ai/1527578.html
32,智能相对论,2018/10/18,3,2,杀死那个人类编剧,http://www.woshipm.com/ai/1522772.html
33,纸盒小卡车,2018/10/15,6,6,通往未来之路 | 那些给人工智能打工的人,http://www.woshipm.com/ai/1511730.html
34,樊帆fan,2018/10/12,23,208,一文读懂智能助理的前世今生,http://www.woshipm.com/ai/1497013.html
35,首席发言者,2018/10/08,14,3,阿里、百度、小米、喜马拉雅看中的儿童智能音箱，价值几何？,http://www.woshipm.com/ai/1480077.html
