,author,date,favorite,thumb,title,title_href
0,遇清风,2018/11/25,0,0,以贝壳找房为例：教你如何写好产品简介,http://www.woshipm.com/pmd/1657748.html
1,申悦,2018/11/24,0,0,产品经理如何快速成长,http://www.woshipm.com/pmd/1660079.html
2,dishui123,2018/11/24,0,1,经验分享：ToB项目需求分析、注意事项,http://www.woshipm.com/pmd/1591421.html
3,产品经理大学,2018/11/24,4,4,临近毕业的我，靠这三步拿到了8K产品实习offer,http://www.woshipm.com/pmd/1654344.html
4,起点学院,2018/11/24,1,3,小七带你逛起点｜3岁内产品新人，如何度过迷茫期，进入快速成长,http://www.woshipm.com/pmd/1654470.html
5,起点学院学习联盟,2018/11/23,1,1,这4个产品新人写PRD、竞品分析容易遇到的问题，你能解决吗？,http://www.woshipm.com/pmd/1655670.html
6,四月春波,2018/11/23,0,7,复盘淘宝双十一，我用产品思维薅羊毛,http://www.woshipm.com/pmd/962587.html
7,Blues,2018/11/23,13,8,产品经理总要有点方法论,http://www.woshipm.com/pmd/1655324.html
8,Blues,2018/11/22,47,19,产品经理需要懂交互么？这里给你两个建议,http://www.woshipm.com/pmd/1655218.html
9,缪丽伟,2018/11/22,20,7,新营销阶段，拥有这四大价值的产品才是好产品,http://www.woshipm.com/pmd/1624263.html
10,即能,2018/11/22,0,0,如何避免被“功能型产品路线图”牵着鼻子走？,http://www.woshipm.com/pmd/1651826.html
11,异彩,2018/11/22,1,2,一个需求的一生,http://www.woshipm.com/pmd/1652677.html
12,朱百宁,2018/11/19,11,12,在拥有智能之前，请先消灭“智障”,http://www.woshipm.com/pmd/1638189.html
13,奋斗De奶爸,2018/11/19,33,16,一个苦逼产品经理的工作周记（1）,http://www.woshipm.com/pmd/1636650.html
14,南风追忆,2018/11/19,33,8,知识图谱在推荐系统的落地,http://www.woshipm.com/pmd/1640689.html
15,Z. Fly,2018/11/19,29,6,作为产品新人，该如何快速摆脱迷茫快速成长,http://www.woshipm.com/pmd/1640612.html
16,winnie0825,2018/11/19,338,78,分享一个秘密：“面试”是产品经理成长最快的路径，没有之一,http://www.woshipm.com/pmd/1638201.html
17,Cemeworm,2018/11/19,32,9,一个PM的项目复盘记录,http://www.woshipm.com/pmd/1636834.html
18,孙永升,2018/11/19,115,27,产品总监如何做产品规划？,http://www.woshipm.com/pmd/1636443.html
19,卤豆干,2018/11/16,33,4,不懂技术，如何和工程师交流？,http://www.woshipm.com/pmd/1632100.html
20,起点学院,2018/11/16,35,4,小七带你逛起点｜3岁内的产品经理，如何有目的性地系统学习,http://www.woshipm.com/pmd/1628292.html
21,yixiang,2018/11/15,26,14,3款同城配送App流程图：登录注册流程分析及优化建议,http://www.woshipm.com/pmd/1631831.html
22,凤城狂客,2018/11/15,49,7,搜索PM：Query“长尾词”的分析及处理思路,http://www.woshipm.com/pmd/1631170.html
23,网易杭研项目管理,2018/11/15,2,2,什么是组织增长官？,http://www.woshipm.com/pmd/1629436.html
24,LineLian,2018/11/15,52,21,AI产品经理必懂5种技术关系,http://www.woshipm.com/pmd/1629952.html
25,产品经理大学,2018/11/15,6,4,校招社招两头为难，是这个决定最终帮助我入行产品经理,http://www.woshipm.com/pmd/1625779.html
26,御豪同学,2018/11/13,47,8,数据产品经理：从归因模型延伸到转化漏斗,http://www.woshipm.com/pmd/1625535.html
27,产品经理大学,2018/11/13,36,6,线上课程丨降薪、零经验，从传统行业转行产品经理，这是我的入行故事,http://www.woshipm.com/pmd/1618211.html
28,小胖子奋斗,2018/11/13,120,43,写给0-3岁产品经理的12封信（第07封）,http://www.woshipm.com/pmd/1625336.html
29,羊shuang,2018/11/12,3,0,互联网开发，半年排期有意义吗,http://www.woshipm.com/pmd/1622972.html
30,流年,2018/11/12,176,42,你最应该掌握的产品分析方法,http://www.woshipm.com/pmd/1618340.html
31,豇豆,2018/11/12,53,31,产品经理要掌握的经济学思维：决策中的理性与非理性,http://www.woshipm.com/pmd/1623719.html
32,奋斗De奶爸,2018/11/12,33,7,产品经理管理问题的“三板斧”,http://www.woshipm.com/pmd/1623714.html
33,途,2018/11/12,28,7,如何在需求收集和需求排期阶段，给运营打好预防针？,http://www.woshipm.com/pmd/1621899.html
34,swiiiiii,2018/11/12,13,1,我在后台产品工作中总结的4个经验,http://www.woshipm.com/pmd/1621628.html
35,Shirley,2018/11/12,35,7,产品功能点优化思路——以退款账务优化为例,http://www.woshipm.com/pmd/1622063.html
36,花生酱先生,2018/11/12,61,38,如何做一名高效的产品经理,http://www.woshipm.com/pmd/1621168.html
37,歪歪,2018/11/10,47,12,用好这10+种QC工具，帮助你提高产品质量,http://www.woshipm.com/pmd/1613838.html
38,iamsujie,2018/11/09,10,1,从“PRD怎么写”说到产品思维,http://www.woshipm.com/pmd/1618161.html
39,起点学院,2018/11/09,21,6,小七带你逛起点｜成为优秀的产品经理，最难跨越的鸿沟是什么？,http://www.woshipm.com/pmd/1609195.html
40,小胖子奋斗,2018/11/09,45,15,写给0-3岁产品经理的12封信：第06封,http://www.woshipm.com/pmd/1615252.html
41,iamsujie,2018/11/09,56,13,商业模式：收入、价值与过程,http://www.woshipm.com/pmd/1603990.html
42,玄澈,2018/11/09,11,10,产品的公器精神：阿里巴巴成功的秘诀,http://www.woshipm.com/pmd/1591902.html
43,二十一弦,2018/11/09,22,14,产品与用户增长,http://www.woshipm.com/pmd/1599580.html
44,四角怪兽,2018/11/08,111,49,如何做一份合格的产品交互提示？,http://www.woshipm.com/pmd/1593139.html
45,网易杭研项目管理,2018/11/08,8,3,网易导师教你：如何帮助团队高效打磨精品产品？,http://www.woshipm.com/pmd/1611767.html
46,青蛙王子,2018/11/08,70,22,经验分享：我在做产品过程中犯的25个错,http://www.woshipm.com/pmd/1608464.html
47,邢小作,2018/11/07,6,1,一位产品经理的“上当”之旅,http://www.woshipm.com/pmd/1608638.html
48,产品经理大学,2018/11/07,20,10,曲曲折折、磕磕碰碰，这是我过去四个月的产品经理入行经验,http://www.woshipm.com/pmd/1599332.html
49,iamsujie,2018/11/07,35,17,高频抓用户，低频做利润,http://www.woshipm.com/pmd/1606738.html
50,penddy,2018/11/07,62,22,产品经理如何处理领导的需求？,http://www.woshipm.com/pmd/1606017.html
51,小平哥,2018/11/07,112,21,券商产品经理的基本面：相关业务账户的概念,http://www.woshipm.com/pmd/1597620.html
52,RookieChan,2018/11/06,1,5,关系最好的研发离职，对产品经理的影响,http://www.woshipm.com/pmd/1598794.html
53,产品熊,2018/11/06,9,4,谈需求挖掘之九段式访谈,http://www.woshipm.com/pmd/1601034.html
54,iamsujie,2018/11/06,8,2,产品生命周期的不同尺度,http://www.woshipm.com/pmd/1603993.html
55,陈新涛,2018/11/06,3,2,时间序列在数据智能上的应用——转转獬豸,http://www.woshipm.com/pmd/1601721.html
56,如坚,2018/11/06,6,5,为什么说需求评审被怼成狗是一件好事？,http://www.woshipm.com/pmd/1600587.html
57,产品经理大学,2018/11/06,24,5,错过校招，我是如何弯道超车拿到全职产品经理offer,http://www.woshipm.com/pmd/1595657.html
58,邢小作,2018/11/06,18,4,如何提高试听课转化率？试试将课程产品化,http://www.woshipm.com/pmd/1598979.html
59,aaron,2018/11/05,31,7,什么是策略产品经理？,http://www.woshipm.com/pmd/1595791.html
60,豇豆,2018/11/05,38,16,作为广告产品经理，工作中有哪些挑战？,http://www.woshipm.com/pmd/1590394.html
61,善宝橘,2018/11/05,18,4,从七天红包看工作中的运营和产品如何结合,http://www.woshipm.com/pmd/1593869.html
62,Kent,2018/11/05,77,31,一个成熟智能硬件产品经理的素养,http://www.woshipm.com/pmd/1585271.html
63,万能的船长,2018/11/05,23,5,初次对接微信支付的PM必读：微信支付那些坑,http://www.woshipm.com/pmd/1589158.html
64,Hatter,2018/11/02,23,5,如何在工作中养成记录项目日志的习惯,http://www.woshipm.com/pmd/1588309.html
65,曹涛,2018/11/02,11,3,产品经理的需求表达方式，用户接受吗,http://www.woshipm.com/pmd/1586074.html
66,Geek,2018/11/02,30,4,用户的需求分析：如何把自己变成小白用户？,http://www.woshipm.com/pmd/1586617.html
67,404,2018/11/02,18,8,场景：在用户想要的地方出现,http://www.woshipm.com/pmd/1584531.html
68,起点学院,2018/11/02,21,4,小七带你逛起点｜成为一个优秀产品经理：先学会做好产品人，才能学会如何做好产品,http://www.woshipm.com/pmd/1582440.html
69,即能,2018/11/02,17,2,案例分享：公司缺乏战略规划时，我是如何为产品定向的？,http://www.woshipm.com/pmd/1584123.html
70,旺仔九号,2018/11/02,298,152,高级产品经理常用的七种思维方式,http://www.woshipm.com/pmd/1585538.html
71,卤豆干,2018/11/02,20,14,你又一次被“真实数据”欺骗了,http://www.woshipm.com/pmd/1584490.html
72,袁林,2018/11/02,11,1,如何制定Product backlog？,http://www.woshipm.com/pmd/1583896.html
73,网易杭研项目管理,2018/11/02,11,2,产品交付发展过程,http://www.woshipm.com/pmd/1582198.html
74,笔记侠,2018/11/01,4,3,通过这五点教你如何把复盘做到位,http://www.woshipm.com/pmd/1583243.html
75,老漂,2018/11/01,16,6,用面向对象编程思想——构建用户调查的理论基础,http://www.woshipm.com/pmd/1581981.html
76,网易杭研项目管理,2018/11/01,16,1,互联网项目中，业务多线并行风险管理如何防范？,http://www.woshipm.com/pmd/1582149.html
77,卡思数据,2018/11/01,19,4,用产品思维做短视频不新鲜，但它背后这4个误区却总有人跨不过去,http://www.woshipm.com/pmd/1582124.html
78,小强Joey,2018/11/01,18,6,社交产品方法论（十）：项目管理的二三事,http://www.woshipm.com/pmd/1580708.html
79,马 璐,2018/11/01,20,12,论打造用户体验和数值系统，你得看看游戏类产品,http://www.woshipm.com/pmd/1580761.html
80,hursing,2018/10/31,241,92,如何写出受技术欢迎的需求文档？,http://www.woshipm.com/pmd/1579154.html
81,ArvinNing,2018/10/31,32,30,再谈独立思考：考察独立思考能力时，聊什么？,http://www.woshipm.com/pmd/1547372.html
82,空文,2018/10/31,1,1,概念解析：什么是产品人的“傻瓜”思维,http://www.woshipm.com/pmd/1577642.html
83,金龙聊运营,2018/10/31,9,6,业务、公司和产业的老化,http://www.woshipm.com/pmd/1578999.html
84,雅格布,2018/10/31,20,5,为什么微信也有做不好社交产品的时候？未来的社交新机会在哪里？,http://www.woshipm.com/pmd/1576731.html
85,空文,2018/10/31,1,0,认知升级与产品定义的关系,http://www.woshipm.com/pmd/1573798.html
86,vitamin,2018/10/30,37,29,工作复盘——产品新人快速成长的秘诀,http://www.woshipm.com/pmd/980859.html
87,袁林,2018/10/30,4,0,敏捷团队内部的角色与分工,http://www.woshipm.com/pmd/1573784.html
88,产品经理大学,2018/10/30,18,5,线下课程丨普通二本院校的我，如何一步步踏上“产品”路,http://www.woshipm.com/pmd/1571495.html
89,小胖子奋斗,2018/10/30,47,17,写给0-3岁产品经理的12封信：第04封,http://www.woshipm.com/pmd/1572517.html
90,从小吃米饭,2018/10/30,11,4,做产品的这一年里，我都踩过哪些坑？,http://www.woshipm.com/pmd/1548868.html
91,LineLian,2018/10/30,72,39,你有没有想过，2019年产品需求的趋势是什么？,http://www.woshipm.com/pmd/1572591.html
92,空文,2018/10/29,4,1,求知需求：“剧情反转”与产品定义,http://www.woshipm.com/pmd/1566901.html
93,独孤qiu败,2018/10/29,84,15,评分卡都看不懂，怎么能说自己是做风控的？,http://www.woshipm.com/pmd/1568529.html
