,author,date,favorite,thumb,title,title_href
0,首席发言者,2018/11/21,0,0,区块链加持的相互保，推动互助行业引来新爆发,http://www.woshipm.com/blockchain/1648604.html
1,链外参,2018/11/19,2,0,虚拟币失利后，积分换购是区块链新战场？,http://www.woshipm.com/blockchain/1641508.html
2,香鱼,2018/11/09,23,6,在金融科技赋能下，看看区块链+供应链金融,http://www.woshipm.com/blockchain/1607633.html
3,孟永辉,2018/11/05,2,0,告别数字货币的天空，区块链的未来之路在哪？,http://www.woshipm.com/blockchain/1591247.html
4,刘旷,2018/10/29,2,1,区块链引爆金融媒体：同花顺固守、新浪财经反思、韭菜财经谋变,http://www.woshipm.com/blockchain/1567017.html
5,青蛙王子,2018/10/26,14,2,一起聊聊：汽车生态的区块链平台,http://www.woshipm.com/blockchain/1559931.html
6,CDA数据分析师,2018/10/24,12,6,Youtube网红老师带你看懂区块链的作用,http://www.woshipm.com/blockchain/1546438.html
7,纸盒小卡车,2018/10/23,23,10,区块链的这些事儿：十大法则、社会角色、社群运营,http://www.woshipm.com/blockchain/1542854.html
8,子木君,2018/10/13,19,7,区块链版权：噱头还是现实？,http://www.woshipm.com/blockchain/1497329.html
9,蓝狐笔记,2018/10/12,13,3,如何理解加密经济学？,http://www.woshipm.com/blockchain/1501480.html
10,蓝狐笔记,2018/09/22,10,6,什么是区块链的“智能合约”,http://www.woshipm.com/blockchain/1442574.html
11,硅谷密探,2018/09/18,31,5,区块链与金融、保险业那些不得不说的故事,http://www.woshipm.com/blockchain/1426819.html
12,人民创投,2018/09/12,17,4,当我们谈论区块链安全时，我们在谈论什么？,http://www.woshipm.com/blockchain/1403285.html
13,壹百度,2018/09/03,33,8,从产品经理的角度，阐述转型区块链世界的一些感受,http://www.woshipm.com/blockchain/1352212.html
14,硅谷密探,2018/08/30,5,3,确权系统里的身份验证：区块链世界里，我是谁？谁是我？,http://www.woshipm.com/blockchain/1334821.html
15,Palowlto,2018/08/27,15,4,区块链笔记一｜从比特币到以太坊，区块链1.0 – 2.0升级变迁,http://www.woshipm.com/blockchain/1291939.html
