,author,date,favorite,thumb,title,title_href
0,木公子,2018/11/24,16,7,深度复盘：转化率仅为9%，一次失败的引流课，我总结出了6个坑,http://www.woshipm.com/operate/1656931.html
1,姑婆那些事儿,2018/11/23,2,4,活动运营最愁啥？人人人人人……,http://www.woshipm.com/operate/1656743.html
2,列克星敦,2018/11/23,9,6,干货 | 掌握好这6项技能，小白也能成运营高手,http://www.woshipm.com/operate/1656643.html
3,阿嘞,2018/11/23,0,0,会员经济时代，做好会员营销的6大关键点！,http://www.woshipm.com/operate/1655683.html
4,起点学院,2018/11/23,1,0,小七带你逛起点｜网易运营总监：跟运营前辈能学到什么，不能学到什么？,http://www.woshipm.com/operate/1650997.html
5,大V姐姐,2018/11/22,72,13,从1000场活动中总结出来的思维套路模型,http://www.woshipm.com/operate/1654373.html
6,Thinker韩,2018/11/22,6,4,标品与非标品怎么定义?有什么区别?,http://www.woshipm.com/operate/1653872.html
7,数商云MA,2018/11/22,2,2,案例+方法：如何打造现金贷产品的用户增长体系,http://www.woshipm.com/operate/1653194.html
8,木木新知,2018/11/22,3,1,你并不知道，什么才是真正的用户需求,http://www.woshipm.com/operate/1653257.html
9,怪兽先森,2018/11/22,10,7,用户对你的产品很满意，为什么还是不肯下单购买？,http://www.woshipm.com/operate/1652715.html
10,姑婆那些事儿,2018/11/22,0,0,十三条从知乎引流微信的经验,http://www.woshipm.com/operate/1650009.html
11,神策数据,2018/11/22,7,4,数据驱动经验分享：从方法到实践,http://www.woshipm.com/operate/1649656.html
12,北京大兵,2018/11/22,4,1,互金运营入门指南（三）：搭建你的运营框架,http://www.woshipm.com/operate/1651440.html
13,微笑,2018/11/22,10,7,新媒体运营流程：公众号的整个生命周期,http://www.woshipm.com/operate/1651211.html
14,fantasy,2018/11/21,11,3,「foodie」近三个月的用户反馈收集、整理及输出,http://www.woshipm.com/operate/1648807.html
15,木木老贼,2018/11/21,19,16,网易连续不断打造爆款H5，说到底我们可以学什么？,http://www.woshipm.com/operate/1649467.html
16,李金鑫,2018/11/20,20,5,做产品就是谈恋爱，需要选择和某个人成为长期的合伙人,http://www.woshipm.com/operate/1647938.html
17,苏谈彬,2018/11/20,56,49,如何构建运营体系？,http://www.woshipm.com/operate/1645278.html
18,韩利,2018/11/20,24,15,人生运营指南：找个运营来作陪,http://www.woshipm.com/operate/1644742.html
19,未知素设计,2018/11/20,50,6,如何让用户快乐剁手？请看LINE FRIENDS合作会场的秘密套路,http://www.woshipm.com/operate/1641633.html
